,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_umap
0,0.5,4,0.6756756756756757,0.668918918918919
1,0.5,5,0.6666666666666666,0.6833333333333333
2,0.5,6,0.6066666666666667,0.74
3,0.5,7,0.5476190476190477,0.6964285714285714
4,0.5,8,0.6824324324324325,0.8513513513513513
5,0.5,9,0.6545454545454545,0.7818181818181819
6,0.5,10,0.7333333333333335,0.8666666666666668
7,0.5,11,0.7160493827160493,0.8888888888888888
8,0.5,12,0.7533333333333333,0.7933333333333334
9,0.5,13,0.746376811594203,0.7246376811594203
10,0.5,14,0.7755102040816327,0.782312925170068
11,0.5,15,0.85625,0.8625
12,0.5,16,0.8472222222222222,0.8611111111111112
13,0.5,17,0.7581699346405228,0.8758169934640523
14,0.5,18,0.8402777777777779,0.9166666666666666
15,0.5,19,0.7666666666666667,0.8466666666666666
16,0.5,20,0.8800000000000002,0.8800000000000001
17,0.5,21,0.7727272727272727,0.9220779220779219
18,0.5,22,0.8391608391608391,0.895104895104895
19,0.5,23,0.8205128205128206,0.9487179487179487
20,0.5,24,0.9375,0.9444444444444445
21,0.5,25,0.8012820512820512,0.8974358974358975
22,0.5,26,0.7832167832167832,0.8881118881118882
23,0.5,27,0.8961038961038962,0.9025974025974026
24,0.5,28,0.8357142857142857,0.9
25,0.5,29,0.8666666666666668,0.9066666666666668
26,0.5,30,0.9400000000000001,0.9066666666666668
27,0.5,31,0.9305555555555556,0.9583333333333334
28,0.5,32,0.8611111111111112,0.9166666666666666
29,0.5,33,0.9411764705882353,0.9215686274509802
30,0.5,34,0.9338235294117647,0.9558823529411764
31,0.5,35,0.8680555555555556,0.9305555555555556
32,0.5,36,0.9305555555555556,0.9583333333333333
33,0.5,37,0.8881578947368421,0.9736842105263158
34,0.5,38,0.9398496240601503,0.9323308270676691
35,0.5,39,0.8785714285714287,0.9571428571428572
36,0.5,40,0.9071428571428573,0.9285714285714286
37,0.5,41,0.870748299319728,0.91156462585034
38,0.5,42,0.9523809523809523,0.9387755102040816
39,0.5,43,0.9545454545454546,0.9393939393939394
40,0.5,44,0.931818181818182,0.9166666666666666
41,0.5,45,0.9420289855072465,0.9710144927536232
42,0.5,46,0.9492753623188405,0.9202898550724635
43,0.5,47,0.9444444444444445,0.9375
44,0.5,48,0.9444444444444443,0.9305555555555555
45,0.5,49,0.9444444444444443,0.9305555555555555
46,0.5,50,0.9666666666666667,0.98
47,0.5,60,0.96,0.96
48,0.5,70,0.9857142857142858,0.9714285714285715
49,0.5,80,0.9666666666666667,0.9833333333333334
50,0.5,90,0.9555555555555556,0.9555555555555556
51,0.5,100,0.9466666666666667,0.94
52,0.5,150,0.9866666666666667,0.9733333333333334
53,0.5,200,0.98,0.97
54,0.5,250,0.976,0.968
