,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_tsne
0,10,4,0.5416666666666666,0.55
1,10,5,0.4722222222222223,0.5277777777777778
2,10,6,0.6,0.5083333333333334
3,10,7,0.5073529411764706,0.5147058823529411
4,10,8,0.55,0.5416666666666666
5,10,9,0.5923076923076923,0.49230769230769234
6,10,10,0.5333333333333333,0.47500000000000003
7,10,11,0.5793650793650794,0.492063492063492
8,10,12,0.5750000000000001,0.4833333333333334
9,10,13,0.46031746031746024,0.46825396825396826
10,10,14,0.5966386554621849,0.5042016806722689
11,10,15,0.5625,0.53125
12,10,16,0.525,0.5333333333333333
13,10,17,0.46031746031746035,0.5158730158730159
14,10,18,0.6153846153846154,0.5811965811965811
15,10,19,0.5,0.5499999999999999
16,10,20,0.5666666666666668,0.4416666666666666
17,10,21,0.6611570247933884,0.4628099173553719
18,10,22,0.5545454545454545,0.49090909090909085
19,10,23,0.475,0.4666666666666666
20,10,24,0.4666666666666666,0.5166666666666666
21,10,30,0.5166666666666667,0.5166666666666666
22,10,40,0.4666666666666666,0.5166666666666666
23,10,50,0.54,0.5800000000000001
24,10,60,0.6166666666666667,0.5083333333333333
25,10,70,0.5238095238095238,0.6000000000000001
26,10,100,0.5700000000000001,0.5800000000000001
27,10,150,0.6266666666666667,0.5866666666666667
28,10,200,0.48,0.5
